open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1528761600000,16.2,16.7999,13.95,14.6282,744968.58,1528847999999,11321260.474835,24285,368915.2,5593754.710866,0
1528848000000,14.7,14.9731,12.813,13.8499,781129.3,1528934399999,10799288.675251,17726,372750.56,5157253.171022,0
1528934400000,13.8003,14.3409,13.15,14.0624,682270.16,1529020799999,9384377.514828,14778,298369.62,4105150.44068,0
1529020800000,14.0662,14.0748,13.5555,13.82,486000.73,1529107199999,6722327.690389,10199,226522.13,3132538.074991,0
1529107200000,13.82,14.88,13.7599,14.44,663787.16,1529193599999,9508421.439512,15312,308721.74,4432945.304099,0
1529193600000,14.4291,14.6432,14.0727,14.2399,535906.2,1529279999999,7693301.363015,10074,221091.11,3176485.836142,0
1529280000000,14.2399,15.62,13.971,15.0902,615447.91,1529366399999,8977252.712709,13462,285791.88,4170233.027155,0
1529366400000,15.1096,15.9448,15.0,15.6025,586508.69,1529452799999,9045543.55683,15341,278417.97,4292343.68886,0
1529452800000,15.6025,17.451,14.715,17.35,779691.09,1529539199999,12381199.136987,19859,341216.66,5440704.157618,0
1529539200000,17.32,17.86,16.5037,17.5826,953254.49,1529625599999,16398372.848506,25572,460531.94,7930058.175358,0
1529625600000,17.5826,17.6825,14.11,14.48,1295188.37,1529711999999,20292042.358346,30239,555775.9,8685855.626583,0
1529712000000,14.4848,15.1213,14.13,14.753,518777.36,1529798399999,7631367.324394,13766,279924.27,4121313.684991,0
1529798400000,14.7693,15.4514,13.0182,14.792,841002.42,1529884799999,11922840.620149,19213,443458.22,6291336.515439,0
1529884800000,14.7802,16.0999,14.4705,15.85,644026.9,1529971199999,9962691.123436,17599,315902.0,4888501.843282,0
1529971200000,15.85,15.999,14.7,14.8447,708799.86,1530057599999,10962040.049896,11324,339263.36,5245700.880686,0
1530057600000,14.8203,15.6399,14.18,15.4501,1004615.03,1530143999999,14962091.940297,15361,525940.08,7823617.452559,0
1530144000000,15.4512,15.6699,14.3731,14.5421,1125501.57,1530230399999,17057624.158572,16053,606554.4,9211332.928029,0
1530230400000,14.5309,15.55,14.21,15.2534,1110916.87,1530316799999,16359132.441224,15887,610220.79,8994947.065533,0
1530316800000,15.2546,16.8529,15.2101,16.1571,1132170.79,1530403199999,18207579.771207,17821,558364.64,8984274.352278,0
1530403200000,16.165,16.45,15.54,16.0358,733989.26,1530489599999,11731196.476398,11959,403194.15,6445508.587848,0
1530489600000,16.0017,17.04,15.6,16.6514,921193.92,1530575999999,15106831.489802,16371,497077.53,8166757.982284,0
1530576000000,16.6613,17.1671,16.022,16.1401,888958.93,1530662399999,14714721.82193,13623,454171.41,7533769.898261,0
1530662400000,16.1896,17.495,16.0254,16.8426,662602.99,1530748799999,11245989.933503,11770,390922.16,6637870.403617,0
1530748800000,16.8599,17.4345,16.66,17.4,802679.24,1530835199999,13677631.104964,18231,435963.79,7439842.724143,0
1530835200000,17.405,18.4678,16.8048,18.327,1383266.95,1530921599999,24617389.40868,29544,733984.03,13063068.230665,0
1530921600000,18.34,18.7901,17.4158,18.6621,916164.84,1531007999999,16519804.54566,15414,464412.19,8390055.816787,0
1531008000000,18.6505,18.98,18.1207,18.3447,740441.41,1531094399999,13730195.132694,12463,401220.5,7443891.252017,0
1531094400000,18.2921,18.75,18.0995,18.1567,738773.85,1531180799999,13628119.613505,13342,352477.17,6505133.461266,0
1531180800000,18.1766,18.2498,16.02,16.05,1140799.43,1531267199999,19418708.824687,20731,534164.28,9110281.253155,0
1531267200000,16.0791,16.7214,15.6504,16.44,902667.55,1531353599999,14633392.708532,16606,459998.04,7462168.315612,0
1531353600000,16.4511,16.4512,15.67,16.3326,770853.48,1531439999999,12335320.813046,12913,405706.0,6498801.157015,0
1531440000000,16.3651,16.85,16.056,16.27,909976.41,1531526399999,15038885.264738,16447,469061.95,7756660.185828,0
1531526400000,16.243,16.7434,16.0622,16.3634,595782.12,1531612799999,9711934.249616,9928,305862.04,4991130.047594,0
1531612800000,16.3665,16.92,16.2507,16.6365,674323.49,1531699199999,11183199.249339,10659,382618.47,6340274.777298,0
1531699200000,16.6366,17.5396,16.5247,17.384,844366.14,1531785599999,14428299.072726,14231,454908.07,7769541.281681,0
1531785600000,17.3301,18.3,16.8803,17.92,1063152.13,1531871999999,18619871.634194,20474,568999.53,9968474.852652,0
1531872000000,17.9032,18.4396,17.04,17.3411,1226583.46,1531958399999,21873186.186607,25079,631493.55,11274271.031675,0
1531958400000,17.3288,17.9556,17.0364,17.3844,809263.5,1532044799999,14097541.652778,13952,447905.48,7801336.103753,0
