open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1627776000000,51.338,77.111,48.374,63.8,81684782.224,1630454399999,5105840553.833747,9224118,40252903.73,2518654107.666628,0
1630454400000,63.8,77.36,43.97,47.01,62193136.419,1633046399999,3652385974.555484,5122148,30832442.045,1806819400.051682,0
1633046400000,47.03,60.0,42.15,54.37,50391945.671,1635724799999,2700438870.754727,4813721,25127081.21,1346641487.3208,0
1635724800000,54.38,65.31,44.45,48.32,53825107.3,1638316799999,2926143979.1795,4677331,27079749.04,1471190565.8966,0
1638316800000,48.32,49.59,28.12,34.06,38914827.938,1640995199999,1467511013.367173,2454013,19480623.477,734801258.026054,0
1640995200000,34.06,35.9,21.2,25.66,41747281.179,1643673599999,1175304128.519924,2308916,20736001.324,583703170.06382,0
1643673600000,25.66,37.58,23.32,30.49,45790754.07,1646092799999,1382073165.4945,2921851,22860366.84,689746982.0739,0
1646092800000,30.49,52.66,25.0,47.45,98821434.09,1648771199999,4107835657.9344,6362118,49301127.26,2053198722.1929,0
1648771200000,47.45,48.64,24.5,25.89,56170609.54,1651363199999,2251473145.4495,3939109,27868120.38,1117298188.6705,0
1651363200000,25.88,33.04,16.02,23.77,48784949.928,1654041599999,1145558724.874308,3015672,24190684.88,567656458.7814,0
1654041600000,23.78,24.23,12.47,15.01,31315037.489,1656633599999,520061963.945124,1723338,15444356.55,256498045.204,0
1656633600000,15.01,45.36,13.34,36.35,127295656.99,1659311999999,3718581466.5337,6335319,63846564.62,1871141806.3013,0
1659312000000,36.35,45.71,30.34,32.43,142456947.62,1661990399999,5302988872.9653,7659728,70133578.23,2609538098.5256,0
1661990400000,32.43,42.39,26.64,27.74,113700651.98,1664582399999,3961367277.1542,5542766,56400385.56,1965771818.5942,0
1664582400000,27.75,28.95,20.58,24.25,40344939.36,1667260799999,991816871.6718,1893442,19885954.76,489355683.6255,0
1667260800000,24.24,27.23,17.15,20.29,42390762.57,1669852799999,917099602.1795,2645679,20955975.19,453316965.7605,0
1669852800000,20.29,20.31,14.7,15.69,16884474.68,1672531199999,294448199.5322,1008174,8127558.26,141764836.5637,0
1672531200000,15.69,23.9,15.47,21.69,44747456.32,1675209599999,931159910.7145,2210314,21845243.18,454289935.6025,0
1675209600000,21.68,24.95,20.0,20.76,33423565.9,1677628799999,748589525.3278,1591315,16219873.25,363680056.2182,0
1677628800000,20.76,22.55,16.1,20.74,30135114.6,1680307199999,596724950.8483,1742484,14544782.15,288309401.9918,0
1680307200000,20.73,23.12,18.5,19.4,23085891.39,1682899199999,484498097.3366,1420344,10957164.09,229992838.0099,0
1682899200000,19.41,19.79,18.81,19.15,1136410.71,1685577599999,21851857.8916,95516,534701.87,10282359.5148,0
