open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1514764800000,13715.65,13818.55,12750.0,13380.0,8609.915844,1514851199999,114799747.44197057,105595,3961.938946,52809747.44038045,0
1514851200000,13382.16,15473.49,12890.02,14675.11,20078.092111,1514937599999,279717107.4337192,177728,11346.326739,158080088.68331683,0
1514937600000,14690.0,15307.56,14150.0,14919.51,15905.667639,1515023999999,236116868.3361901,162787,8994.953566,133587333.24534808,0
1515024000000,14919.51,15280.0,13918.04,15059.54,21329.649574,1515110399999,312781583.79830784,170310,12680.812951,186116793.01158932,0
1515110400000,15059.56,17176.24,14600.0,16960.39,23251.491125,1515196799999,369321956.4868375,192969,13346.622293,211829900.67898223,0
1515196800000,16960.39,17143.13,16011.21,17069.79,18571.457508,1515283199999,309216920.98641044,158242,11007.164056,183417769.06237718,0
1515283200000,17069.79,17099.96,15610.0,16150.03,12493.125558,1515369599999,206194706.37068352,120269,6779.320508,112151163.1274352,0
1515369600000,16218.85,16322.3,12812.0,14902.54,26600.609912,1515455999999,396569997.15746266,208642,13756.844389,206049582.13668823,0
1515456000000,14902.54,15500.0,14011.05,14400.0,14315.004253,1515542399999,210630187.45766863,156656,6841.233287,100698572.9000214,0
1515542400000,14401.0,14955.66,13131.31,14907.09,17411.001655,1515628799999,244011366.763028,161476,8529.554675,119570139.8064535,0
1515628800000,14940.0,14968.68,11400.0,13238.78,33554.723751,1515715199999,446587594.6937379,239416,16422.01998,218762237.37910992,0
1515715200000,13238.76,14109.78,12500.0,13740.01,16417.162137,1515801599999,222516076.27145907,134452,8117.312075,110040020.181478,0
1515801600000,13749.95,14580.0,13706.15,14210.0,12221.508528,1515887999999,173086488.54788405,123639,5574.178408,78958098.9463857,0
1515888000000,14210.0,14339.5,12569.2,13474.99,17017.894329,1515974399999,226525305.1293811,152364,8288.382911,110381556.67259862,0
1515974400000,13477.98,14249.99,13147.79,13539.93,14652.094705,1516060799999,200614554.538343,145362,7431.063272,101748315.63707082,0
1516060800000,13500.0,13542.93,9035.0,10900.0,63401.169175,1516147199999,722150828.1494025,418243,30353.401717,346777069.93374634,0
