open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1514764800000,13715.65,17176.24,9035.0,10285.1,816675.564467,1517443199999,9979686765.57534,7214977,405900.525084,4998781571.24693,0
1517443200000,10285.1,11786.01,6000.01,10326.76,1243940.85531,1519862399999,11576600898.496582,11684784,605296.665626,5637272324.135996,0
1519862400000,10325.64,11710.0,6600.1,6923.91,1235326.31402,1522540799999,10789435243.860197,9237002,600809.010645,5248981630.130889,0
1522540800000,6922.0,9759.82,6430.0,9246.01,1110964.015581,1525132799999,8963408127.53917,7421056,562990.666953,4545945701.676253,0
1525132800000,9246.01,10020.0,7032.95,7485.01,914476.377885,1527811199999,7717053810.960644,7433740,465963.946341,3927577118.133629,0
1527811200000,7485.01,7786.69,5750.0,6390.07,942249.765944,1530403199999,6334765066.668446,6911213,511693.580655,3444934498.1056666,0
1530403200000,6391.08,8491.77,6070.0,7730.93,1102510.436786,1533081599999,7956324970.008916,6137961,590311.682161,4258637350.565962,0
1533081600000,7735.67,7750.0,5880.0,7011.21,1408159.816556,1535759999999,9361010282.352654,6947401,757462.270359,5036496276.224335,0
1535760000000,7011.21,7410.0,6111.0,6626.57,1100653.423315,1538351999999,7274119992.680284,5764608,597396.269165,3949166119.0301757,0
1538352000000,6626.57,7680.0,6205.0,6371.93,629922.086219,1541030399999,4151246611.5536914,3852914,324179.636991,2136571667.2648249,0
1541030400000,6369.52,6615.15,3652.66,4041.32,1210366.564567,1543622399999,5762104292.969666,6810329,616104.67054,2927681316.7787304,0
1543622400000,4041.27,4312.99,3156.26,3702.9,1591229.611862,1546300799999,5893039910.760216,7933980,809310.7712,2995966430.439426,0
1546300800000,3701.23,4069.8,3349.92,3434.1,908244.14054,1548979199999,3320676978.282867,6315903,471134.137498,1722159891.3014305,0
1548979200000,3434.1,4198.0,3373.1,3813.69,861783.986727,1551398399999,3202849295.152803,5866928,452235.785562,1681041785.0133934,0
1551398400000,3814.26,4140.0,3670.69,4103.95,787190.48925,1554076799999,3091934416.096792,5549651,416484.156595,1636152913.8097374,0
1554076800000,4102.44,5600.0,4067.0,5320.81,1126961.315101,1556668799999,5743659745.683714,7878682,575775.326797,2933079322.3586507,0
1556668800000,5321.94,9074.26,5316.2,8555.0,1498410.025617,1559347199999,11148664963.531687,12978067,778598.220628,5791322850.876026,0
1559347200000,8555.0,13970.0,7444.58,10854.1,1689489.647326,1561939199999,17039339677.99758,15717591,869210.722548,8732583691.028864,0
1561939200000,10854.1,13147.08,9060.0,10080.53,1886176.065915,1564617599999,20321356634.297855,17005268,955194.468837,10278506136.645895,0
1564617600000,10080.53,12330.7,9320.0,9587.47,1201961.576316,1567295999999,12906016545.404419,11862163,607197.730488,6523990464.572799,0
1567296000000,9588.74,10905.87,7710.0,8289.34,1116856.475836,1569887999999,10708237140.603718,10290100,560469.13385,5377015249.31717,0
1569888000000,8289.97,10370.0,7300.0,9140.85,1446763.024045,1572566399999,12389911486.343376,14098403,733947.670057,6285965694.637506,0
1572566400000,9140.86,9513.68,6515.0,7541.89,1499118.774995,1575158399999,12102536663.596674,12471724,750869.623227,6067338401.456775,0
1575158400000,7540.63,7750.0,6435.0,7195.23,1307033.020384,1577836799999,9459566247.185167,10826717,663282.884286,4802558841.087473,0
1577836800000,7195.24,9578.0,6871.04,9352.89,1691323.137782,1580515199999,14188275899.577446,14894658,856196.333802,7181731095.296175,0
1580515200000,9351.71,10500.0,8445.0,8523.61,1609726.154564,1583020799999,15497862132.125307,17837429,798553.012528,7693054951.9507675,0
1583020800000,8523.61,9188.0,3782.13,6410.44,3789768.913125,1585699199999,24019544659.32284,28381746,1845421.420217,11718738378.677536,0
1585699200000,6412.14,9460.0,6150.11,8620.0,2528373.691121,1588291199999,18428838833.75182,22386100,1225177.008108,8934788999.322521,0
1588291200000,8620.0,10067.0,8117.0,9448.27,2685340.078508,1590969599999,24747877574.699898,26310658,1290540.419741,11899518361.293411,0
1590969600000,9448.27,10380.0,8833.0,9138.55,1504745.517922,1593561599999,14277079245.338604,16545761,722427.805431,6859500825.045642,0
1593561600000,9138.08,11444.0,8893.03,11335.46,1507827.21494,1596239999999,14753365566.208982,20753644,730493.372932,7150041886.61255,0
1596240000000,11335.46,12468.0,10518.5,11649.51,1891193.007128,1598918399999,21998484649.31155,30195218,905652.249495,10538058910.640635,0
1598918400000,11649.51,12050.85,9825.0,10776.59,1730389.160179,1601510399999,18438729253.51499,26134850,829701.081638,8841238423.250223,0
1601510400000,10776.59,14100.0,10374.0,13791.0,1592634.419946,1604188799999,19264362947.437504,22613534,784505.599749,9492633451.611906,0
1604188800000,13791.0,19863.16,13195.05,19695.87,2707064.911165,1606780799999,45120124395.27154,42912200,1321484.072802,22052425057.035137,0
1606780800000,19695.87,29300.0,17572.33,28923.63,2495281.856217,1609459199999,55748654003.59772,45342713,1228961.900949,27479704740.96169,0
1609459200000,28923.63,41950.0,28130.0,33092.98,3440864.750019,1612137599999,118838018199.71985,73759099,1696403.287596,58587953326.30836,0
1612137600000,33092.97,58352.8,32296.16,45135.66,2518242.148517,1614556799999,115983202933.60136,65653181,1252700.494403,57668562533.49612,0
